21,22,-1,-1,20,21,21,21,21,21,21,21,21,21,13,31,31,31,31,31,31,31,31,16,31,31,16,31,32,14
21,22,-1,-1,20,21,21,21,21,21,21,21,21,21,43,41,41,41,41,41,41,41,41,26,41,41,41,41,42,44
16,32,-1,-1,30,31,31,31,16,14,21,21,21,21,23,51,51,51,51,51,51,51,51,35,51,51,46,51,52,24
25,42,-1,-1,40,41,26,15,41,44,21,21,21,21,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
36,52,-1,-1,50,51,51,51,45,24,21,21,21,21,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,21,21,21,21,11,11,11,11,12,-1,-1,-1,-1,-1,-1,-1,10,11,21
-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,21,21,21,21,21,21,21,21,22,-1,-1,-1,-1,-1,-1,-1,20,21,21
-1,-1,-1,-1,-1,-1,-1,-1,-1,30,31,31,31,31,31,14,21,21,21,22,-1,-1,-1,-1,-1,-1,-1,20,21,21
-1,-1,-1,-1,-1,-1,-1,-1,-1,40,41,26,41,26,41,44,21,21,21,21,11,12,-1,-1,-1,-1,-1,20,21,21
-1,-1,-1,-1,-1,-1,-1,-1,-1,50,51,51,51,51,51,24,21,21,21,21,21,22,-1,-1,-1,-1,-1,20,21,21
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,21,21,21,21,21,22,-1,-1,-1,-1,-1,20,21,21
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,21,21,21,21,21,22,-1,-1,-1,-1,-1,20,21,21
11,11,11,11,11,11,11,11,11,12,-1,-1,-1,-1,-1,30,31,31,16,31,31,32,-1,-1,-1,-1,-1,20,21,21
21,21,21,21,21,21,21,21,21,22,-1,-1,-1,-1,-1,40,26,25,26,41,41,42,-1,-1,-1,-1,-1,20,21,21
21,21,21,21,21,21,21,21,21,22,-1,-1,-1,-1,-1,50,46,51,51,51,51,52,-1,-1,-1,-1,-1,30,16,31
21,21,21,21,21,21,21,21,21,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,15,41
21,21,21,21,21,21,21,21,21,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,51,51
21,21,21,21,21,21,21,21,21,22,-1,-1,-1,-1,-1,10,11,11,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,21,21,21,21,21,21,21,21,22,-1,-1,-1,-1,-1,20,21,21,21,22,-1,-1,-1,10,11,11,11,11,11,11
21,21,21,21,21,21,21,21,21,22,-1,-1,-1,-1,-1,20,21,21,21,22,-1,-1,-1,20,21,21,21,21,21,21
